news_id,Title,Link,Content,Category,Reporter,Date
1,"[전자 기업 AI 점검]③LG전자, '공감지능'으로 고객 마음 읽고 솔루션 제시한다",/news/articleView.html?idxno=628701,국내 주요 전자기업들의 AI 사업 성과와 향후 계획을 짚어봅니다LG전자가 인공지능(AI)을 고객 중심으로 재정의한 '공감지능' 구현에 속도를 내고 있다. 해당 기술이 적용된 신제품을 중심으로 확대 적용하는 가운데 연결성과 고객 맞춤형 기능을 강화하기 위한 기술 개발도 꾸준히 이어졌다.공감지능은 LG전자가 올해 초 미국 라스베이거스에서 내놓은 개념이다. 고객과의 교감을 중시했다는 점이 기존 AI와 다르다. 고객의 감정과 행동을 이해하고 실시간으로 맞춤형 솔루션을 제공해 차별화된 고객 경험을 창출하겠다는 뜻이 공감지능에 담겨 있다. 단,IT기업,이진솔 기자,2024.12.25 14:00
2,"[전자 기업 AI 점검]②삼성전자, 위기론 속 재도약 모색…내년은 다를까",/news/articleView.html?idxno=628672,국내 주요 전자기업들의 AI 사업 성과와 향후 계획을 짚어봅니다올해 삼성전자는 지난 1993년부터 지켜온 메모리반도체 선두 입지가 흔들리며 위기론에 직면했다. 캐시카우(현금창출원)인 메모리반도체와 성장동력인 파운드리(반도체 위탁생산) 모두 인공지능(AI)의 수혜를 놓친 탓이다. AI가 초래한 시장 변화에 제대로 대응하지 못해 고대역폭메모리(HBM) 사업이 부진했다. 오는 2030년 세계 1위를 목표로 하는 파운드리는 흑자전환 기대감을 높였던 하반기에 오히려 적자 폭이 더 커졌다.삼성전자는 반도체를 총괄하는 전영현 디바이스솔루션(DS,IT기업,이진솔 기자,2024.12.24 17:34
3,[LG CNS 상장 도전]③비교기업 'NTT데이터'…글로벌 꿈 이룰까,/news/articleView.html?idxno=628618,유가증권시장(KOSPI) 상장을 추진 중인 LG CNS의 재무지표 및 경쟁력을 분석합니다LG CNS가 상장을 추진하며 비교기업군에 일본 정보기술(IT) 기업 'NTT DATA Group(이하 NTT데이터)'를 포함시킨 것은 글로벌 시장에 대한 회사의 의지를 엿볼 수 있는 대목이다. LG CNS는 전체 매출의 약 60%가 LG전자·LG화학·LG유플러스 등 그룹 계열사들로부터 나온다. 그룹사가 아닌 대외 고객들도 공공·금융기관과 일반 사기업들로 한국 기업들이 대부분이다. LG전자와 LG화학 등 그룹 주요 계열사들이 글로벌 사업을 하다보,IT기업,박현준 기자,2024.12.24 08:30
4,"[전자 기업 AI 점검]①SK하이닉스, HBM 앞세워 메모리 판도 뒤집다",/news/articleView.html?idxno=628594,국내 주요 전자기업들의 AI 사업 성과와 향후 계획을 짚어봅니다메모리반도체 시장의 2인자인 SK하이닉스가 인공지능(AI) 시장을 선점하며 대약진했다. 선두인 삼성전자가 AI 연산에 특화된 고대역폭메모리(HBM) 시장 진입에 어려움을 겪는 사이 독보적인 기술력과 품질을 바탕으로 큰손인 엔비디아의 주문을 독식했다. 이에 그치지 않고 엔비디아와 대만 TSMC로 이어지는 협력관계를 구축해 AI 메모리반도체 시장에서 견고한 입지를 마련했다. 엔비디아의 그래픽처리장치(GPU)를 비롯한 AI 연산용 반도체에 함께 탑재되는 HBM은 단일 D램을,IT기업,이진솔 기자,2024.12.23 15:54
5,"삼성전자, 미국 반도체 보조금 7조원 받는다",/news/articleView.html?idxno=628566,"삼성전자가 미국 텍사스주에 건설할 예정인 파운드리(반도체 수탁생산) 공장 투자에 따른 보조금 규모를 확정 지었다. 지난 4월 미국 상무부와 체결한 예비협약에 비해 보조금 규모가 소폭 감소했지만, 전체 투자 대비 보조금 비율은 TSMC와 인텔 등과 견줘 높다.삼성전자는 23일 미국 상무부와 반도체 지원 보조금을 47억4500만달러(약 6조9000억원)로 확정하는 내용의 계약을 체결했다고 공시했다. 삼성전자는 향후 370억달러(약 53조6000억원) 이상의 현지 투자를 통해 텍사스주 중부 지역을 중심으로 첨단 반도체 생태계를 구축한다.",IT기업,이진솔 기자,2024.12.23 09:42
6,퓨어스토리지의 'AI 에이전트' 대응법 '데이터 이동 없는 학습',/news/articleView.html?idxno=628542,글로벌 스토리지 전문 기업 퓨어스토리지가 인공지능(AI)이 '스토리지간 데이터 이동 없는 방식으로 학습'할 수 있도록 하는 기술을 내세워 2025년 기업들의 AI 수요에 대응한다. 퓨어스토리지뿐만 아니라 시장조사기관 및 전문가들이 2025년 AI 시장에서 화두로 떠오를 것으로 꼽는 키워드는 단연 'AI 에이전트'다. AI 에이전트는 생성형 AI에서 한 발 더 나아간 개념이다. 오픈AI의 챗GPT와 같은 생성형 AI 기반 챗봇은 AI가 명령어를 인식해 학습한 데이터를 기반으로 자연어로 대답을 만든다. 누군가 명령을 내리고 결과를 확인,IT기업,박현준 기자,2024.12.20 23:36
7,"삼성전자·SK하이닉스, 보조금 수령 윤곽...미국 투자 속도낼까",/news/articleView.html?idxno=628486,미국 정부가 반도체 제조시설 보조금 지급에 속도를 내며 SK하이닉스가 7000억원 규모의 지원을 확보했다. 삼성전자의 테일러 투자도 막바지 협상에 접어들면서 불확실성을 해소하고 현지 투자를 가속할 중요한 계기가 마련될 것으로 전망된다.SK하이닉스는 20일 미국 인디애나주 웨스트라피엣에 첨단 패키징 공장을 건설하기 위한 투자금액을 40억9000만달러(약 5조9000억원)로 결정하고 미 상무부로부터 4억5800만달러(약 7000억원)의 보조금과 최대 5억달러(약 7200억원)의 대출 지원을 받는다고 공시했다. 지난 4월 차세대 고대역폭,IT기업,이진솔 기자,2024.12.20 14:26
8,이어지는 고환율 기조...삼성전자·SK하이닉스 영향은,/news/articleView.html?idxno=628438,"삼성전자와 SK하이닉스가 국내외의 정치적 불확실성으로 불거진 고환율 리스크가 국내 반도체 기업에 미칠 영향을 예의주시하고 있다. 반도체는 대부분 해외로 수출되는 만큼 달러가치가 높아지면 단기적으로 실적에 긍정적인 영향을 줄 수 있지만, 두 회사가 막대한 자금을 들여 미국에 건설하는 신규 생산기지 투자에는 적잖은 타격이 될 수 있다는 우려가 나온다.국내 외환시장에서 미국달러화 대비 원화 환율은 19일 장중 한때 1450원을 넘어섰다. 이는 15년 9개월 만이다. 국내 정치의 불확실성이 가시화되기 전 1400원선을 오갔던 환율은 지난",IT기업,이진솔 기자,2024.12.19 17:09
9,"아마존·MS가 키우는 AI칩 시장…삼성전자·SK하이닉스, 'HBM 확대' 기회",/news/articleView.html?idxno=628292,"미국 빅테크들이 자사 데이터센터에서 사용하기 위해 자체 개발하는 주문형반도체(ASIC) 도입에 속도를 내고 있다. ASIC에 필요한 맞춤형 고대역폭메모리(HBM) 수요가 확대되면서 삼성전자와 SK하이닉스 등 메모리반도체 기업들의 고객군도 다변화될 것으로 전망된다.데이터센터와 네트워크, 인공지능(AI) 반도체 등을 설계, 판매하는 미국 마벨은 최근 삼성전자, SK하이닉스와 맞춤형 HBM 개발에 협력하고 있다고 발표했다. 마벨이 개발하는 AI 반도체에 특화된 설계 기반의 HBM으로 성능과 전력효율을 개선하고 비용을 절감하는 것이 목표다",IT기업,이진솔 기자,2024.12.17 16:54
10,"한미반도체 곽동신, 회장 승진…차세대 HBM 장비 시장 주도한다",/news/articleView.html?idxno=628222,곽동신 한미반도체 부회장이 17년 만에 회장으로 승진했다. 그는 지난해 말 별세한 고(故) 곽노권 전 회장에 이어 회사를 이끌며 인공지능(AI) 메모리반도체인 고대역폭메모리(HBM) 제조용 장비 시장에서 선두의 입지를 보다 견고히 하는 데 집중할 계획이다.곽 회장은 지난 1998년 한미반도체에 입사해 현재까지 26년 넘게 몸담아왔다. 1980년 한미반도체를 설립한 곽 전 회장이 경영일선에서 물러난 후부터 사실상 회사를 이끌어왔다. HBM 필수 공정 장비인 열압착(TC) 본더 개발에 성공하며 한미반도체를 시가총액 8조원의 국내 대표,IT기업,이진솔 기자,2024.12.16 15:31
11,"기업 목표 달성 위한 'IT 활용법', 가트너가 제시한다[테크체인저]",/news/articleView.html?idxno=628081,가트너가 기업이 목표를 달성하기 위해 정보기술(IT)을 어떻게 활용할 것인지에 대한 방법을 제시한다. 가트너는 IT 분야의 기업·상품별 점유율을 조사해 발표하는 시장조사기관으로 알려져있다. 글로벌 기업들은 각자가 소속된 업종의 경향을 파악하기 위해 가트너의 조사 결과를 참고한다. 언론사들도 보도에 가트너의 조사결과를 인용한다. 가트너는 시장조사를 하며 수많은 기업들을 만났다. 이 과정에서 기업들이 전략적 목표를 달성하기 위해 IT를 어떻게 활용할지에 대해 많은 고민을 하는 것을 발견했다. 여기서 IT에는 서버·스토리지 등 장비를 비,IT기업,박현준 기자,2024.12.13 08:00
12,[LG CNS 상장 도전]②여전히 높은 'MSP 강자' 메가존·베스핀의 벽,/news/articleView.html?idxno=627988,유가증권시장(KOSPI) 상장을 추진 중인 LG CNS의 재무지표 및 경쟁력을 분석합니다. LG CNS는 클라우드 시장에 '관리서비스제공사업자(MSP)'로서 뛰어들었지만 아직은 기존 사업자들의 벽은 뛰어넘지 못하고 있다. 클라우드 MSP는 온프레미스에서 클라우드로 업무 환경을 전환하고자 하는 기업들을 대상으로 컨설팅과 데이터 이관 및 운영 등의 서비스를 제공한다. 온프레미스는 서버·스토리지·네트워크·보안 등의 정보기술(IT) 인프라를 자체 데이터센터에 구축한 업무 환경을 말한다. 클라우드는 아마존웹서비스(AWS)·마이크로소프트(MS,IT기업,박현준 기자,2024.12.11 17:20
13,"[어바웃 C]삼성전기 ‘미래‘ 찾는 장덕현 사장, 신사업 성과 ‘숙제’",/news/articleView.html?idxno=627931,"장덕현 삼성전기 사장이 계열사 수장 대부분이 물갈이되는 가운데도 자리를 지키며 내년에 대표이사 취임 5년 차를 맞게 됐다. 경기침체와 정보기술(IT) 수요 둔화로 실적은 부진했지만, 인공지능(AI)과 전장(자동차 전자부품) 등 성장 분야 중심의 성과를 인정받은 결과로 풀이된다. 삼성전기는 그간 미래 먹거리로 개발해온 신규 제품을 내년부터 양산한다. 장 사장은 신사업의 안정적인 사업화를 이끄는 동시에 체질개선 효과를 실적으로 증명하는 데 집중할 것으로 보인다.지난 2021년 12월부터 삼성전기를 이끌어온 장 사장은 올해 정기 사장단인",IT기업,이진솔 기자,2024.12.10 17:38
14,"[어바웃 C]롯데이노베이트 '전략통' 김경엽, '매출 성장 10%' 특명 완수하려면",/news/articleView.html?idxno=627872,"기업 최고 의사결정권자(CEO, CFO, COO, CIO 등)의 행보에서 투자 인사이트를 얻어가세요.롯데그룹의 2025년 임원인사를 통해 롯데이노베이트(구 롯데정보통신)의 최고경영자(CEO)로 선임된 김경엽 대표(전무)는 '전략통'으로 꼽힌다. 그는 기업가치를 끌어올려야 하는 중책을 맡게 됐다. 롯데이노베이트와 같은 대기업 그룹에 속한 IT서비스 기업들은 △인공지능(AI) △빅데이터 △클라우드 등의 신사업에서 성과를 내는 것이 필수 과제다. 과거에는 그룹 계열사들을 대상으로 한 시스템통합(SI) 및 시스템 운영·유지보수(SM) 사업",IT기업,박현준 기자,2024.12.10 13:17
